source,p,h,i,sup_over_frobenius_ball,sup_over_spectral_ball,claims.C4_prop41.thm_d4_finite_perturbation.ok,claims.C4_prop41.thm_d4_finite_perturbation.n_eigenpairs_checked,claims.C4_prop41.thm_d4_finite_perturbation.worst_err_over_bound,claims.C4_prop41.thm_d4_finite_perturbation.bound_never_violated,c_scale_of_K_JH,K_JH_columns_are_orthonormal,worst_err_over_maintext_bound,worst_err_over_appendix_bound,khh_inverse_spectral_norm,the_two_bounds_are_the_same_expression
claims.C4_prop41.thm_d4_exact_supremum.per_config,6,2,0,1.1180339887498951,1.5000000000000007,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,6,2,1,1.1180339887498951,1.5000000000000007,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,6,3,0,1.0551513846100207,1.3366666666666664,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,6,3,1,0.47376740659901373,0.6700000000000003,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,6,3,2,0.47376740659901384,0.6700000000000004,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,8,3,0,1.0049875621120892,1.1000000000000003,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,8,3,1,0.11180339887498947,0.15000000000000013,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,8,3,2,0.11180339887498947,0.1500000000000001,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,10,4,0,1.2500000000000002,1.7500000000000007,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,10,4,1,1.2500000000000002,1.7500000000000009,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,10,4,2,0.9013878188659975,1.2500000000000009,,,,,,,,,,
claims.C4_prop41.thm_d4_exact_supremum.per_config,10,4,3,0.5590169943749473,0.7500000000000004,,,,,,,,,,
