source,smallest_positive_eigenvalue_a,perturbation_norm,aligned_eigenvector_error,paper_gap,correct_full_spectrum_gap,error_over_perturbation_div_paper_gap,error_over_perturbation_div_full_gap,sample_size_n,n_sample_gaussian_kl,le_cam_error_probability_lower_bound,eigenvector_error_threshold,paper_rate_without_constant_or_xi,threshold_over_paper_unit_rate,delta,lambda,n_star_alpha_0.30,errors,claims.C5_thm42.route_b_davis_kahan_constant.ok,claims.C5_thm42.route_b_davis_kahan_constant.n_trials,claims.C5_thm42.route_b_davis_kahan_constant.constant_checked,claims.C5_thm42.route_b_davis_kahan_constant.worst_err_over_bound,claims.C5_thm42.route_b_davis_kahan_constant.no_violation_found,independent_check.c5_stage_slope_recheck.available,independent_check.c5_stage_slope_recheck.stage_1_theil_sen_slope,independent_check.c5_stage_slope_recheck.stage_1_least_squares_slope,independent_check.c5_stage_slope_recheck.stage_2_theil_sen_slope,independent_check.c5_stage_slope_recheck.stage_2_least_squares_slope,independent_check.c5_stage_slope_recheck.stage_1_agrees_at_least_root_n,independent_check.c5_stage_slope_recheck.stage_2_agrees_at_least_root_n,independent_check.c5_stage_slope_recheck.agrees_with_claim_module,independent_check.c5_stage_slope_recheck.agreement_tolerance,a,error,paper_normalized_ratio,full_gap_normalized_ratio,n_sample_kl_from_matrix_formula
claims.C5_thm42.route_0_literal_counterexamples.missing_zero_eigenspace_gap_counterexample.rows,0.1,0.0007812499999999999,0.007811844446884284,1.9,0.1,18.99840569482258,0.9999160892011885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_0_literal_counterexamples.missing_zero_eigenspace_gap_counterexample.rows,0.01,7.812499999999999e-05,0.007811844446899579,1.99,0.01,198.9833017514261,0.9999160892031462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_0_literal_counterexamples.missing_zero_eigenspace_gap_counterexample.rows,0.001,7.8125e-06,0.007811844446851034,1.999,0.001,1998.8322623046677,0.9999160891969324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_0_literal_counterexamples.missing_zero_eigenspace_gap_counterexample.rows,0.0001,7.812500000000001e-07,0.007811844446108028,1.9999,0.0001,19997.321865947448,0.9999160891018275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_0_literal_counterexamples.gaussian_two_point_lower_bound.rows,0.1,,,,,,,429496729600.0,0.03205128204879455,0.43670378955972705,7.629394531175985e-06,1.390999890432962e-06,5.484827557248234,,,,,,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_0_literal_counterexamples.gaussian_two_point_lower_bound.rows,0.01,,,,,,,42949672960000.0,0.031328320799573615,0.4374217282122085,7.629394531175985e-06,1.3280903476495617e-07,57.446351783810464,,,,,,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_0_literal_counterexamples.gaussian_two_point_lower_bound.rows,0.001,,,,,,,4294967296000000.0,0.03125781445118748,0.43749218603727663,7.629394531175985e-06,1.3221109513870073e-08,577.0615940494328,,,,,,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_0_literal_counterexamples.gaussian_two_point_lower_bound.rows,0.0001,,,,,,,4.294967296e+17,0.03125078126710636,0.4374992187377766,7.629394531175985e-06,1.3215159717098994e-09,5773.214016705655,,,,,,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_c_calibrated_rate.delta_sweep,,,,,,,,,,,,,,0.25,"[4.0, 3.75, 1.0]",5535.860908019186,"[0.6263584393536357, 0.5653642932565964, 0.3966738231936855, 0.2786227498053056, 0.1811494546843778, 0.13923792425295378, 0.09540964581092784, 0.06689007071754778, 0.05172156383217454, 0.03622121213221674]",,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_c_calibrated_rate.delta_sweep,,,,,,,,,,,,,,0.5,"[4.0, 3.5, 1.0]",5518.344778057866,"[0.6275273271302784, 0.5616202165880265, 0.39651967070203553, 0.27808032406122135, 0.18118164394465697, 0.1396008736373853, 0.0953163192677788, 0.0664332162990111, 0.051681406074873926, 0.0363036729510905]",,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_c_calibrated_rate.delta_sweep,,,,,,,,,,,,,,0.75,"[4.0, 3.25, 1.0]",5505.928578992368,"[0.6285984554512113, 0.5579540849705769, 0.39635501452910443, 0.2777030596734776, 0.1812037952815295, 0.13993343659810448, 0.09522351390466503, 0.06604652757727313, 0.05164180680196621, 0.036400574728871676]",,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_c_calibrated_rate.delta_sweep,,,,,,,,,,,,,,1.0,"[4.0, 3.0, 1.0]",5499.528903200538,"[0.6295887247590818, 0.5543115746150477, 0.39618930829551335, 0.2775234540147741, 0.18122635911393303, 0.140240189546474, 0.09513231663710589, 0.06573004730572453, 0.051603978045035435, 0.03651802690323337]",,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_c_calibrated_rate.delta_sweep,,,,,,,,,,,,,,1.5,"[4.0, 2.5, 1.0]",5516.814265865491,"[0.6313781650889893, 0.5467515226753689, 0.39587310129560643, 0.27815381331563394, 0.18132784687801198, 0.14079415253200023, 0.09495912987837087, 0.06536209496884143, 0.05153884432883385, 0.03687202616822055]",,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_c_calibrated_rate.delta_sweep,,,,,,,,,,,,,,2.0,"[4.0, 2.0, 1.0]",5659.508773944049,"[0.6373092369944873, 0.537629731290867, 0.3955885740164784, 0.28262904764352914, 0.18176319417635253, 0.14131604269930545, 0.09481515878233515, 0.0660770645173383, 0.051506605881341525, 0.03769806021730283]",,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_c_calibrated_rate.delta_sweep,,,,,,,,,,,,,,2.5,"[4.0, 1.5, 1.0]",6749.833486719206,"[0.8689795684942943, 0.5265982214838751, 0.3953369038551495, 0.31206367946535385, 0.18674236457835156, 0.14850089295564725, 0.09486647033657035, 0.07582319287656762, 0.05359147763738174, 0.03810503417671454]",,,,,,,,,,,,,,,,,,,
claims.C5_thm42.route_b_davis_kahan_constant,,,,,,,,,,,,,,,,,,True,4000,2.8284271247461903,0.3573395852044496,True,,,,,,,,,,,,,,
independent_check.c5_stage_slope_recheck,,,,,,,,,,,,,,,,,,,,,,,True,-0.512916454674898,-0.5089141494472996,-0.4765481219084882,-0.4724105293903735,True,True,True,0.15,,,,,
independent_check.theorem_d5_counterexamples_independent.rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.007811844446888177,18.998405694832044,0.9999160892016867,
independent_check.theorem_d5_counterexamples_independent.rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.007811844446888177,198.98330175113563,0.9999160892016866,
independent_check.theorem_d5_counterexamples_independent.rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.007811844446888177,1998.8322623141717,0.9999160892016866,
independent_check.theorem_d5_counterexamples_independent.rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.007811844446888177,19997.32186794453,0.9999160892016866,
independent_check.theorem_d5_counterexamples_independent.gaussian_two_point_lower_bound.rows,,,,,,,,,,0.43670378955972705,7.629394531175985e-06,,5.484827557248234,,,,,,,,,,,,,,,,,,,0.1,,,,0.032051282048794545
independent_check.theorem_d5_counterexamples_independent.gaussian_two_point_lower_bound.rows,,,,,,,,,,0.4374217282122085,7.629394531175985e-06,,57.446351783810464,,,,,,,,,,,,,,,,,,,0.01,,,,0.031328320799573615
independent_check.theorem_d5_counterexamples_independent.gaussian_two_point_lower_bound.rows,,,,,,,,,,0.43749218603727663,7.629394531175985e-06,,577.0615940494328,,,,,,,,,,,,,,,,,,,0.001,,,,0.03125781445118748
independent_check.theorem_d5_counterexamples_independent.gaussian_two_point_lower_bound.rows,,,,,,,,,,0.43749921873777664,7.629394531175985e-06,,5773.214016705655,,,,,,,,,,,,,,,,,,,0.0001,,,,0.031250781267106356
