source,sigma_max,errors,n_star,n_star_crossing,n_star_fit,usable,ratio,r2,decay_slope,why,pi_min,p_total,n,median_max_abs_pi_error,iqr,stated_bound_unit_sqrt_plogp_over_n,error_over_stated_unit,independent_check.c6_slope_recheck.available,independent_check.c6_slope_recheck.theil_sen_slope,independent_check.c6_slope_recheck.least_squares_slope,independent_check.c6_slope_recheck.theil_sen_agrees_no_sigma_growth,independent_check.c6_slope_recheck.abs_difference_between_estimators,independent_check.c6_slope_recheck.estimators_agree_on_the_slope,independent_check.c6_slope_recheck.why
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.rows,1.0,"[0.07518717557512783, 0.07974446599587706, 0.08924331181755417, 0.10021873256640287, 0.08685956858501237, 0.07344014304387639, 0.06244152491253252, 0.04556153834286564, 0.05692456401961721, 0.050776070815170965, 0.04679553834053929, None, None, None, None, None, None, None, None]",1536.721088658842,438.3311666919929,"{'n_star': 1536.721088658842, 'decay_slope': -0.14686926486055119, 'r2': 0.6704483027327934, 'why': 'fitted'}",,,,,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.rows,1.15,"[0.0741987928843704, 0.09547935843147881, 0.09091274634463745, 0.09349104307595818, 0.10159360162969394, 0.07189765550544394, 0.07955468293626183, 0.04768840217712017, 0.07322490680685875, 0.053136920063609205, 0.06876097363899952, None, None, None, None, None, None, None, None]",13214.038321007558,479.7805855065677,"{'n_star': 13214.038321007558, 'decay_slope': -0.09795613880494082, 'r2': 0.38994254849569987, 'why': 'fitted'}",,,,,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.rows,1.35,"[0.084954864868206, 0.12164213817518726, 0.09641570292621782, 0.11080124721559581, 0.15711287918649644, 0.08149866128038885, 0.06594833266558917, 0.05722591428471327, 0.06083036152904775, 0.07662213152153015, 0.0790892983379114, 0.0464344927641252, 0.042335255229584035, 0.022073001360834066, 0.008685655905471018, None, None, None, None]",1192.5138553001655,2997.735905023622,"{'n_star': 1192.5138553001655, 'decay_slope': -0.27488963776351216, 'r2': 0.7101861408848524, 'why': 'fitted'}",,,,,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.rows,1.55,"[0.104068458672265, 0.20786464602506494, 0.2, 0.1525234565257384, 0.11008991204980295, 0.12628438462453917, 0.10088940162482551, 0.06148862359485224, 0.12571396702092874, 0.06310877358115606, 0.05979179247408031, 0.04933044298595776, 0.05586388924993915, 0.027126422606594258, 0.011729005597637954, None, None, None, None]",2304.0383883539257,3096.2905835074143,"{'n_star': 2304.0383883539257, 'decay_slope': -0.30971345514814824, 'r2': 0.8000543012824418, 'why': 'fitted'}",,,,,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.rows,1.8,"[0.1414890530212325, 0.11950235066676185, 0.21979750479658455, 0.13969695745651245, 0.15635641987145044, 0.17661811536708893, 0.11342488339743173, 0.07515215215683936, 0.09730357285067454, 0.07694103431598977, 0.07462261743595786, 0.06060456621743654, 0.05948832634617551, 0.04137753134274058, 0.015366128470082174, 0.013794605238927837, 0.00954800430058561, None, None]",2954.393882387082,7752.285127756688,"{'n_star': 2954.393882387082, 'decay_slope': -0.3155042411324832, 'r2': 0.8799260991182212, 'why': 'fitted'}",,,,,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.rows,2.0,"[0.24525064505418037, 0.1568296689074216, 0.13561735251870954, 0.2, 0.22730529652333786, 0.1422262421372824, 0.12276180074098653, 0.10391160191225712, 0.0996827124832018, 0.07821618132153965, 0.08151600913218734, 0.06428501149067656, 0.06884074236379853, 0.04902564343522553, 0.020952631294761104, 0.01748198334386264, 0.013391592729287305, None, None]",5105.591786360847,11853.312043589116,"{'n_star': 5105.591786360847, 'decay_slope': -0.3049031971900119, 'r2': 0.9232295769473042, 'why': 'fitted'}",,,,,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.rows,2.2,"[0.37670831894352674, 0.13052898439216143, 0.11560637439394494, 0.26339660661998654, 0.20174340532901214, 0.21751193193241236, 0.13383177948847685, 0.13332617766283372, 0.13055673232245624, 0.0843296272470282, 0.08533158542768271, 0.06617980959225417, 0.08622484938538877, 0.050030810430293685, 0.027457014117938272, 0.023271901912997522, 0.01882067229417153, 0.0172021432779573, None]",9876.735444342099,12511.764616233142,"{'n_star': 9876.735444342099, 'decay_slope': -0.2835627234576411, 'r2': 0.8911073677174084, 'why': 'fitted'}",,,,,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.per_setting_screen.usable,1.35,,,2997.735905023622,1192.5138553001655,True,2.5137954512646457,0.7101861408848524,-0.27488963776351216,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.per_setting_screen.usable,1.55,,,3096.2905835074143,2304.0383883539257,True,1.34385373054461,0.8000543012824418,-0.30971345514814824,,,,,,,,,,,,,,,
claims.C6_thm43.route_b_calibrated_sample_complexity.sigma.per_setting_screen.usable,1.8,,,7752.285127756688,2954.393882387082,True,2.6239849648933813,0.8799260991182212,-0.3155042411324832,,,,,,,,,,,,,,,
